time (ms),L2_RQSTS.REFERENCES-0,L2_RQSTS.REFERENCES-1,L2_RQSTS.REFERENCES-2,L2_RQSTS.REFERENCES-3,L2_RQSTS.REFERENCES-4,L2_RQSTS.REFERENCES-5,LONGEST_LAT_CACHE.REFERENCE-0,LONGEST_LAT_CACHE.REFERENCE-1,LONGEST_LAT_CACHE.REFERENCE-2,LONGEST_LAT_CACHE.REFERENCE-3,LONGEST_LAT_CACHE.REFERENCE-4,LONGEST_LAT_CACHE.REFERENCE-5,BR_INST_RETIRED.ALL_BRANCHES-0,BR_INST_RETIRED.ALL_BRANCHES-1,BR_INST_RETIRED.ALL_BRANCHES-2,BR_INST_RETIRED.ALL_BRANCHES-3,BR_INST_RETIRED.ALL_BRANCHES-4,BR_INST_RETIRED.ALL_BRANCHES-5,BR_MISP_RETIRED.ALL_BRANCHES-0,BR_MISP_RETIRED.ALL_BRANCHES-1,BR_MISP_RETIRED.ALL_BRANCHES-2,BR_MISP_RETIRED.ALL_BRANCHES-3,BR_MISP_RETIRED.ALL_BRANCHES-4,BR_MISP_RETIRED.ALL_BRANCHES-5,INST_RETIRED.ANY-0,INST_RETIRED.ANY-1,INST_RETIRED.ANY-2,INST_RETIRED.ANY-3,INST_RETIRED.ANY-4,INST_RETIRED.ANY-5,CPU_CLK_UNHALTED.THREAD-0,CPU_CLK_UNHALTED.THREAD-1,CPU_CLK_UNHALTED.THREAD-2,CPU_CLK_UNHALTED.THREAD-3,CPU_CLK_UNHALTED.THREAD-4,CPU_CLK_UNHALTED.THREAD-5,CPU_CLK_UNHALTED.REF_TSC-0,CPU_CLK_UNHALTED.REF_TSC-1,CPU_CLK_UNHALTED.REF_TSC-2,CPU_CLK_UNHALTED.REF_TSC-3,CPU_CLK_UNHALTED.REF_TSC-4,CPU_CLK_UNHALTED.REF_TSC-5
294,3585.926,3843.704,3594.074,6020.000,7593.333,9341.481,4440.741,4708.889,4880.741,8511.111,9929.630,12458.519,4431.852,4474.074,2985.926,4377.037,12190.370,29609.630,328.148,317.037,285.185,401.481,778.519,988.889,20398.519,20581.481,13959.259,20731.852,55161.481,148483.704,70073.333,73037.037,53056.296,88462.222,149543.704,227241.481,232180.000,242320.000,170473.333,281060.000,484640.000,768040.000
320,4790.769,4547.692,3869.231,3751.538,2031.538,7828.462,5672.308,5893.077,5297.692,5030.769,2513.077,8899.231,5217.692,5193.846,3018.462,3000.769,3033.846,32795.385,399.231,417.692,294.615,286.923,268.462,1000.000,24317.692,24212.308,14383.077,14123.846,14029.231,162031.538,86989.231,82326.923,56698.462,52209.231,57400.769,228617.692,272160.000,257220.000,177570.000,163260.000,179730.000,715140.000
347,4219.259,3911.852,3551.852,3878.519,2155.556,8037.778,5123.704,4860.000,4909.630,5211.111,2770.370,8714.815,4905.185,4854.074,2877.037,2940.741,2902.222,31361.481,352.593,336.296,283.704,280.000,240.741,906.667,22779.259,22480.000,13548.148,14093.333,13405.185,154925.926,76959.259,71389.630,54256.296,54089.630,51091.852,222217.778,240846.667,222993.333,169780.000,169346.667,159466.667,694806.667
374,4331.852,4112.593,3553.333,3874.074,2168.889,7639.259,5203.704,5196.296,4885.185,5168.148,2748.889,8741.481,4842.963,4880.000,2868.148,2837.037,2872.593,31536.296,380.000,375.556,277.037,285.926,232.593,947.407,22513.333,22788.148,13525.185,13528.889,13331.111,155791.111,74382.963,71302.222,51421.481,51527.407,49180.741,215782.963,246913.333,236860.000,176626.667,176973.333,167526.667,689260.000
400,4351.538,4520.769,3523.846,6424.615,2500.769,8044.615,5176.923,5553.846,4662.308,9150.769,2832.308,9110.769,5029.231,5019.231,3019.231,4942.308,3428.462,32668.462,386.154,411.538,283.846,483.077,257.692,963.846,23406.923,23357.692,14420.769,23715.385,15903.846,161443.077,77231.538,72158.462,68410.000,85696.154,57076.923,220545.385,256500.000,239400.000,218880.000,287550.000,183960.000,761040.000
427,3965.926,4531.111,3919.259,4302.963,2542.963,7924.444,4852.593,5628.148,5214.074,5742.222,2902.222,8569.630,4424.444,5268.889,3303.704,3872.593,3673.333,31292.593,334.815,358.519,328.148,368.148,278.519,926.667,20437.778,24574.074,15701.481,18601.481,16839.259,154690.370,69933.333,76243.704,60396.296,64110.370,59287.407,218139.259,218920.000,238420.000,188586.667,200546.667,185466.667,682153.333
453,4118.462,4124.615,3903.077,3838.462,2118.462,11806.154,5039.231,5265.385,5306.923,5177.692,2718.462,14563.077,4594.615,5022.308,3036.923,3021.538,2866.154,35371.538,347.692,388.462,303.077,293.077,253.077,1153.077,21223.846,23347.692,14514.615,14282.308,13554.615,174341.538,72623.077,76873.077,56411.538,56152.308,54184.615,279077.692,227340.000,240390.000,176220.000,191520.000,169650.000,872910.000
480,3231.852,3799.259,32319.259,14906.667,2351.852,7403.704,3706.667,4845.185,45508.148,20420.000,2837.778,9012.593,4193.333,5203.704,45785.926,15134.074,3577.037,32871.852,362.963,368.148,3870.370,1404.444,274.815,1013.333,18606.667,24236.296,211509.630,66711.852,17065.185,161268.148,72748.889,74545.926,524611.111,238011.111,56891.852,208205.185,227760.000,233220.000,1699620.000,728693.333,177926.667,650780.000
507,7388.889,3928.148,7212.593,6385.185,6700.000,14011.852,9508.889,4894.815,9908.148,8855.556,8877.037,17728.889,7709.630,4949.630,5902.963,5062.963,7287.407,36650.370,645.926,370.370,591.852,502.222,685.185,1488.148,34442.222,22960.741,27877.778,23895.556,34517.778,180134.815,121726.667,73760.000,111203.704,90094.074,122750.370,309277.778,398580.000,230706.667,347966.667,293540.000,384106.667,967200.000
533,4631.538,4126.154,3638.462,2636.154,3941.538,8223.077,5505.385,5290.000,5039.231,3317.692,5457.692,9076.154,5298.462,5119.231,2917.692,3127.692,3020.769,33137.692,413.846,382.308,293.846,262.308,304.615,1012.308,24197.692,23688.462,13788.462,14498.462,14380.769,163414.615,79647.692,77003.077,56701.538,53620.769,57826.923,228072.308,249120.000,241020.000,177480.000,167850.000,180450.000,713160.000
560,4418.519,4228.148,3502.963,2145.926,3591.111,7844.444,5222.963,5451.111,4662.963,2841.481,4983.704,8662.222,5087.407,4942.222,2770.370,3027.407,2742.963,31566.667,400.741,398.519,293.333,263.704,264.444,934.074,23222.222,22939.259,13176.296,14252.593,12960.741,155732.593,76885.926,83950.370,46114.815,62980.000,45140.741,214308.889,240500.000,262513.333,144040.000,197340.000,141093.333,670020.000
587,4383.704,4545.185,5517.778,2085.926,3812.593,7586.667,5225.926,5974.815,7943.704,2645.926,5295.556,8366.667,5056.296,4428.148,4097.037,2851.111,2842.963,31598.519,398.519,445.185,388.889,214.074,277.778,908.889,23048.148,20418.519,19391.111,13228.148,13564.444,155818.519,77792.593,77968.148,84638.519,52781.481,52548.148,215997.037,243013.333,243880.000,264766.667,164666.667,164493.333,675740.000
614,3850.370,3976.296,3542.222,5622.222,3914.074,6702.963,4278.519,4548.148,4422.222,7397.037,5282.963,8334.074,4665.185,4437.778,2877.778,9185.185,2846.667,28124.444,335.556,323.704,276.296,490.370,291.111,859.259,21016.296,20385.926,13562.222,41198.519,13582.222,140813.333,75846.667,74788.148,55192.593,114648.148,54353.333,190636.296,252720.000,248993.333,189886.667,374226.667,187373.333,611260.000
640,4018.462,3940.000,4663.846,2310.000,4364.615,7346.154,4280.769,4859.231,6436.923,2823.077,5510.000,8993.846,4860.000,4637.692,8033.077,3097.692,3026.923,29106.154,348.462,323.846,408.462,247.692,287.692,828.462,21852.308,21300.769,35847.692,14311.538,14302.308,145666.923,80251.538,71870.000,88916.923,54666.154,57594.615,200256.154,266670.000,237600.000,294930.000,176670.000,185130.000,688680.000
