time (ms),L2_RQSTS.REFERENCES-0,L2_RQSTS.REFERENCES-1,L2_RQSTS.REFERENCES-2,L2_RQSTS.REFERENCES-3,L2_RQSTS.REFERENCES-4,L2_RQSTS.REFERENCES-5,LONGEST_LAT_CACHE.REFERENCE-0,LONGEST_LAT_CACHE.REFERENCE-1,LONGEST_LAT_CACHE.REFERENCE-2,LONGEST_LAT_CACHE.REFERENCE-3,LONGEST_LAT_CACHE.REFERENCE-4,LONGEST_LAT_CACHE.REFERENCE-5,BR_INST_RETIRED.ALL_BRANCHES-0,BR_INST_RETIRED.ALL_BRANCHES-1,BR_INST_RETIRED.ALL_BRANCHES-2,BR_INST_RETIRED.ALL_BRANCHES-3,BR_INST_RETIRED.ALL_BRANCHES-4,BR_INST_RETIRED.ALL_BRANCHES-5,BR_MISP_RETIRED.ALL_BRANCHES-0,BR_MISP_RETIRED.ALL_BRANCHES-1,BR_MISP_RETIRED.ALL_BRANCHES-2,BR_MISP_RETIRED.ALL_BRANCHES-3,BR_MISP_RETIRED.ALL_BRANCHES-4,BR_MISP_RETIRED.ALL_BRANCHES-5,INST_RETIRED.ANY-0,INST_RETIRED.ANY-1,INST_RETIRED.ANY-2,INST_RETIRED.ANY-3,INST_RETIRED.ANY-4,INST_RETIRED.ANY-5,CPU_CLK_UNHALTED.THREAD-0,CPU_CLK_UNHALTED.THREAD-1,CPU_CLK_UNHALTED.THREAD-2,CPU_CLK_UNHALTED.THREAD-3,CPU_CLK_UNHALTED.THREAD-4,CPU_CLK_UNHALTED.THREAD-5,CPU_CLK_UNHALTED.REF_TSC-0,CPU_CLK_UNHALTED.REF_TSC-1,CPU_CLK_UNHALTED.REF_TSC-2,CPU_CLK_UNHALTED.REF_TSC-3,CPU_CLK_UNHALTED.REF_TSC-4,CPU_CLK_UNHALTED.REF_TSC-5
41166,321632.667,323118.667,288704.000,318720.667,314254.000,317955.333,262542.667,260824.000,269306.667,256810.667,285036.667,255047.333,6666212.667,6668250.667,9003658.000,6640523.333,8481478.667,6647834.000,1179436.667,1178944.000,1607204.667,1176447.333,1520043.333,1176568.000,49804924.667,49824762.667,67196944.000,49623380.000,63371530.000,49669070.667,67544284.000,67534394.000,67573728.667,67350418.667,67519163.333,67415050.000,55913520.000,55905330.000,55937622.000,55753620.000,55892382.000,55806816.000
41196,322526.667,316233.333,330980.667,317479.333,331517.333,318680.667,264388.667,252239.333,310980.000,254987.333,311066.000,258448.667,6663954.000,6670600.667,9506505.333,6667999.333,9481755.333,6655405.333,1179364.667,1181155.333,1573362.000,1180272.000,1573150.000,1177691.333,49786508.000,49836516.000,71323458.000,49820999.333,71221162.667,49719598.667,67557170.000,67563166.000,67598810.000,67573550.667,67594109.333,67553042.000,55924284.000,55929354.000,55958838.000,55938090.000,55954860.000,55920774.000
41223,494137.037,492809.630,292487.407,494254.074,315308.889,490651.111,428653.333,425417.778,278120.000,425930.370,293140.000,426149.630,7687588.148,7668277.037,8787338.519,7680254.074,9992720.000,7662865.926,1154910.370,1151195.556,1567461.481,1154030.370,1788471.111,1150432.593,63892614.074,63710633.333,65554703.704,63841831.111,74632215.556,63698708.148,75019087.407,75033480.741,66723062.222,75009857.037,75106111.852,75008413.333,62101346.667,62113133.333,55233706.667,62093460.000,62173106.667,62092246.667
41250,318732.593,316490.370,456880.000,313831.111,417626.667,314728.889,266066.667,257671.111,447920.741,255055.556,397749.630,257231.111,6391132.593,6394614.815,8926081.481,6382359.259,8399674.074,6386234.074,1130429.630,1131754.074,1384242.963,1128617.037,1433782.222,1130315.556,47744033.333,47777852.593,72985099.259,47679338.519,68733574.815,47706868.889,66585934.074,66580621.481,66630605.185,66464670.370,66754932.593,66583391.111,55119653.333,55116013.333,55157266.667,55019900.000,55260053.333,55118526.667
41280,286362.000,285356.000,294413.333,282988.000,259346.667,283356.000,232942.667,230836.667,277930.667,226152.667,243384.000,229335.333,5916740.667,5918852.000,8985674.000,5925394.000,7981176.667,5901789.333,1047080.667,1047528.000,1600621.333,1047344.000,1424968.000,1042636.667,44203070.667,44210948.000,66969438.667,44249114.000,59536184.000,44091644.000,60062950.000,60063019.333,67577256.667,60052595.333,60072726.667,59869360.667,49720320.000,49720710.000,55940820.000,49711974.000,49728588.000,49559952.000
41310,360515.333,358209.333,341006.000,361685.333,335705.333,358286.000,304156.667,299685.333,323502.000,303673.333,316436.667,300888.000,7070384.000,7064618.000,9483101.333,7073871.333,9459872.000,7050050.667,1128646.000,1126454.000,1564791.333,1129768.000,1566827.333,1124698.667,53196046.667,53150224.000,71035074.000,53213708.667,70945319.333,53042936.667,67539307.333,67550598.667,67595216.000,67553244.667,67607853.333,67483480.667,55909698.000,55918590.000,55955328.000,55921320.000,55966170.000,55863600.000
41336,373798.462,371332.308,303319.231,368252.308,387352.308,368715.385,305898.462,301423.846,287487.692,297686.923,365119.231,299641.538,7683590.000,7687023.077,9193181.538,7664172.308,10915236.923,7660326.923,1359756.923,1359572.308,1637182.308,1357274.615,1807877.692,1355508.462,57411816.154,57398014.615,68514442.308,57246371.538,81859983.846,57242761.538,77944709.231,77953366.923,69255986.923,77946858.462,78009061.538,77856846.154,64522530.000,64530000.000,57330270.000,64525050.000,64576350.000,64450710.000
41363,321505.926,318854.074,393114.815,316218.519,421565.926,315600.000,263450.370,260229.630,377716.296,255662.222,395966.667,254476.296,6565550.370,6574071.111,8697420.000,6552262.963,9807251.852,6557610.370,1161057.037,1162368.148,1480906.667,1158600.000,1682112.593,1160433.333,49026386.667,49092878.519,70835677.778,48933083.704,79183751.852,48965646.667,66676794.074,66726102.963,66732498.519,66602673.333,75021357.037,66697158.519,55195400.000,55236306.667,55241333.333,55134560.000,62102993.333,55212040.000
41393,413632.000,417042.000,345690.000,412237.333,333106.000,414958.000,364358.000,364904.000,331181.333,358848.667,313328.667,363762.667,6181065.333,6171165.333,9383540.000,6172994.000,9477682.667,6175115.333,907443.333,905815.333,1547622.667,906466.000,1569809.333,905962.667,51922902.667,51833841.333,70268636.000,51869201.333,71071601.333,51880463.333,60001046.000,59985942.667,67534717.333,59995838.667,67615201.333,59995411.333,49668996.000,49656828.000,55905408.000,49664628.000,55971942.000,49664550.000
41423,324240.000,328386.667,301788.667,328841.333,324704.000,326890.000,268354.667,269054.667,286646.667,270955.333,298709.333,270578.000,6638996.667,6645194.667,8960243.333,6636827.333,8444618.000,6633662.000,1172428.000,1173206.667,1596058.667,1173480.667,1511408.667,1172047.333,49514869.333,49553788.000,66766288.667,49518251.333,63003675.333,49472528.000,67538936.000,67558516.667,67582774.000,67554822.000,67516151.333,67557134.000,55909386.000,55924986.000,55945032.000,55922412.000,55890120.000,55924362.000
41450,362906.667,364224.444,370592.593,364154.815,388640.741,364180.741,305099.259,302419.259,366946.667,303365.926,369931.852,305916.296,7152434.815,7153802.222,8970151.852,7142721.481,10416942.222,7147151.111,1262728.148,1263319.259,1458260.000,1261824.444,1719922.963,1260754.815,53340680.000,53343045.185,67249385.185,53261895.556,78083480.741,53295876.296,74880240.741,74895459.259,66587311.111,74899380.741,75119294.074,74884883.704,61986600.000,61998820.000,55120953.333,62002373.333,62184026.667,61989806.667
41480,331780.667,332755.333,385005.333,333542.000,402792.667,328496.667,285030.667,284116.000,368046.667,286238.667,388792.667,279046.000,6323789.333,6314195.333,8822799.333,6304242.667,8456500.667,6317380.000,994513.333,991540.000,1508649.333,991046.667,1449888.000,992698.000,47541923.333,47474995.333,71143283.333,47375728.000,68493790.667,47497330.667,60038627.333,60028362.667,67576644.667,59904344.000,67420004.000,60038380.000,49700352.000,49691850.000,55940274.000,49588812.000,55810638.000,49699806.000
41510,322164.667,330776.000,350618.000,327886.000,279928.667,326865.333,265070.667,272198.000,337528.000,271846.000,263235.333,270827.333,6633417.333,6641580.000,9438114.667,6628992.000,8171664.000,6605423.333,1171530.667,1173622.667,1555422.000,1171314.000,1405634.000,1166667.333,49493691.333,49537503.333,70680868.667,49446086.667,61089078.000,49276487.333,67541075.333,67558190.667,67585368.667,67561184.000,60096965.333,67269569.333,55910634.000,55924830.000,55947450.000,55927794.000,49748556.000,55686306.000
41540,415014.000,414640.667,299716.667,409342.667,291608.667,419663.333,358353.333,353283.333,284800.000,351182.667,274904.667,362710.000,6512449.333,6534202.667,8956070.667,6508552.667,8219136.000,6520930.667,1088573.333,1092321.333,1594456.667,1089760.667,1397378.000,1089955.333,53998064.000,54161468.667,66719956.667,53990234.000,61499077.333,54063602.000,67551950.000,67542416.667,67586508.000,67506872.000,60077378.000,67560952.667,55919760.000,55911804.000,55948308.000,55882710.000,49732098.000,55927560.000
41566,425930.000,426449.231,369553.846,420935.385,341736.154,426132.308,370229.231,364146.154,363659.231,362833.077,321072.308,367428.462,7980197.692,7985756.923,9428783.077,7965346.154,10289928.462,7975510.769,1269295.385,1269013.846,1536710.769,1264731.538,1839310.769,1267498.462,59938488.462,59990243.077,70660593.846,59830406.154,76739413.077,59908472.308,77754873.077,77802167.692,69138964.615,77603139.231,77902548.462,77780410.000,64366290.000,64405170.000,57233520.000,64240650.000,64487880.000,64387260.000
41596,286066.667,291546.000,405255.333,290466.000,274377.333,287170.667,238391.333,242782.667,398033.333,243054.000,265363.333,238935.333,5739067.333,5738304.667,8498650.667,5735765.333,7766058.000,5734295.333,1015138.000,1014158.667,1451919.333,1011454.000,1385940.667,1013964.000,42794328.000,42787803.333,68738230.000,42758765.333,57881714.667,42754087.333,59931802.667,59911102.000,67430292.000,59920092.000,59912459.333,59911193.333,49611822.000,49595130.000,55819062.000,49602228.000,49595676.000,49594896.000
41626,331864.000,328373.333,336746.667,326200.000,339815.333,332643.333,277202.000,270174.667,324605.333,268198.667,321233.333,280384.667,6633562.667,6633778.667,9323779.333,6628866.667,9419944.667,6606770.667,1170263.333,1171624.000,1563795.333,1170704.000,1558806.000,1166388.667,49452211.333,49478344.000,69727370.667,49444418.667,70611906.667,49253212.667,67544290.000,67538859.333,67572405.333,67463226.667,67583866.000,67342530.667,55913520.000,55909074.000,55936764.000,55846128.000,55946280.000,55746288.000
41653,410193.333,410903.704,335588.889,407429.630,355154.815,408083.704,356363.704,354094.815,337084.444,350282.222,342016.296,353813.333,7592098.519,7569268.889,8433294.074,7555142.222,7818007.407,7556781.481,1205280.000,1200285.185,1471104.444,1198729.630,1396919.259,1198535.556,57051443.704,56848721.481,62887968.889,56758975.556,58273104.444,56780517.778,74838153.333,74831534.815,66500108.148,74635720.741,66493091.111,74727501.481,61951500.000,61946126.667,55049366.667,61783973.333,55043300.000,61859980.000
41680,337489.630,328291.852,305665.926,325503.704,363160.741,323880.741,282979.259,273057.778,297468.889,269007.407,349206.667,272993.333,6517671.852,6527382.963,8781302.963,6524223.704,8676173.333,6496240.741,1139883.704,1152280.741,1563205.185,1151671.111,1508158.519,1147036.296,49544955.556,48732677.778,65389775.556,48647454.074,68075709.630,48441880.000,66616467.407,66619896.296,66708331.852,66580520.000,66689265.926,66342112.593,55145480.000,55148253.333,55221573.333,55115580.000,55205886.667,54918413.333
41710,367926.000,382959.333,360108.000,374964.000,272770.667,381004.000,316632.667,330531.333,320984.667,321297.333,219550.000,328955.333,5802535.333,5780064.667,9447712.000,5785198.000,9599959.333,5760572.000,973346.000,960326.667,1520694.667,959434.667,1598859.333,956538.667,47876697.333,48460758.000,77024756.667,48559864.667,75460054.667,48411199.333,60041486.000,60019681.333,67577363.333,60013403.333,67592811.333,59841711.333,49702692.000,49684986.000,55940898.000,49679214.000,55953846.000,49537566.000
41740,372229.333,370675.333,203353.333,370149.333,201608.667,373635.333,319584.000,313222.667,167867.333,315802.000,169023.333,321562.667,7071974.667,7078056.000,9194160.000,7069074.667,9159329.333,7051793.333,1127136.000,1127142.000,1669994.000,1126339.333,1668370.000,1123908.667,53100262.667,53145090.667,69398062.667,53076800.667,69167728.667,52947256.000,67566870.667,67570748.667,67617163.333,67550264.000,67622839.333,67410284.000,55931928.000,55935126.000,55974126.000,55918434.000,55978806.000,55802760.000
41766,381830.000,383260.000,272707.692,376107.692,269840.000,375306.923,317880.000,319779.231,254483.846,309443.846,248805.385,309283.077,7666665.385,7661944.615,9943283.846,7627379.231,9936265.385,7649374.615,1353096.923,1351716.923,1656386.154,1346213.077,1659762.308,1350281.538,57172851.538,57123649.231,75287130.000,56865422.308,75259175.385,57038712.308,77953157.692,77949162.308,69332176.923,77727480.000,69365184.615,77935802.308,64530270.000,64527210.000,57393810.000,64343610.000,57420900.000,64515600.000
41796,293469.333,293250.667,265842.000,288930.000,299662.667,293440.000,245779.333,241717.333,250017.333,238808.000,277034.667,243082.667,5903304.667,5905952.667,9055208.000,5899505.333,8986844.000,5896352.667,1040508.667,1042619.333,1603892.000,1041942.000,1567814.667,1040544.000,43993951.333,44033746.000,71293783.333,43989468.667,73071599.333,43949044.000,60057424.000,60048786.667,67609364.000,60041479.333,67619151.333,60049699.333,49715562.000,49709010.000,55967496.000,49702614.000,55975296.000,49709322.000
41823,413057.778,413689.630,310187.407,410278.519,332958.519,414960.741,357582.963,352937.037,301591.111,353497.037,307816.296,356766.667,7840111.111,7844786.667,9463751.852,7845930.370,9985382.222,7841859.259,1248679.259,1248291.111,1543742.222,1249354.074,1742016.296,1248978.519,58892165.185,58906859.259,73994050.370,58909568.148,81190665.926,58896337.037,75027598.519,74984060.000,66774716.296,75056022.222,75132390.370,75059999.259,62108020.000,62072486.667,55276173.333,62132113.333,62194773.333,62135233.333
41850,424987.407,432616.296,221087.407,424690.370,286302.963,433712.593,368022.222,376625.185,214051.111,366451.111,272074.815,375271.111,6395241.481,6405778.519,8922686.667,6390985.926,10645903.704,6393746.667,1060736.296,1063824.444,1613082.963,1060342.222,1791955.556,1060268.889,53698994.074,53767477.778,67017259.259,53682625.185,80440416.296,53678446.667,66721080.741,66709088.889,66771798.519,66700171.111,75148289.630,66707221.481,55232406.667,55221833.333,55273746.667,55214813.333,62208380.000,55220533.333
41876,334374.615,336152.308,245111.538,333645.385,223127.692,333029.231,283816.154,284827.692,240463.846,284022.308,210903.077,278615.385,6598420.000,6594766.154,8972923.077,6560430.769,9219456.923,6574438.462,1164879.231,1162414.615,1624503.077,1157792.308,1672963.846,1160923.846,49200722.308,49146830.000,67376297.692,48908950.769,69346288.462,49022116.923,69138958.462,69142942.308,69171137.692,68943511.538,69288926.154,69045201.538,57234060.000,57236670.000,57259800.000,57071970.000,57357810.000,57156120.000
41903,325113.333,325368.889,274121.481,321780.741,289068.889,323234.815,274700.000,270951.111,267374.074,269582.963,281141.481,271164.444,6494437.037,6502955.556,9417861.481,6498246.667,9156148.148,6458694.815,1146381.481,1148450.370,1563284.444,1146165.926,1522677.778,1141311.852,48434705.185,48484198.519,71094006.667,48435135.556,69216866.667,48176815.556,66650846.667,66660615.556,66684091.111,66657682.222,66591029.630,66323276.296,55174253.333,55182053.333,55201293.333,55179800.000,55124333.333,54902813.333
41930,375659.259,373071.852,327596.296,367640.741,348343.704,373001.481,328336.296,321508.889,320451.852,316622.963,322202.222,324460.000,7018641.481,7016710.370,8746821.481,7012445.185,8214453.333,6988737.778,1103503.704,1104207.407,1512491.852,1103698.519,1423444.444,1098620.741,52724864.444,52703333.333,71618237.778,52691963.704,67723003.704,52499826.667,66712880.000,66710074.074,66746116.296,66691757.037,66701092.593,66482442.963,55225040.000,55223133.333,55252946.667,55207706.667,55215506.667,55034373.333
41956,338403.077,342965.385,289596.923,336988.462,233186.923,338816.154,284217.692,284350.769,285919.231,282073.077,225898.462,279996.154,6798576.154,6801423.077,9828139.231,6799357.692,9243481.538,6792558.462,1200262.308,1198966.154,1632154.615,1199436.923,1675872.308,1199372.308,50668243.846,50686951.538,74092826.923,50678070.769,69385063.846,50620633.077,69285830.769,69295127.692,69332756.154,69280511.538,69324920.769,69286907.692,57355110.000,57362940.000,57393900.000,57350700.000,57387780.000,57356190.000
41983,325828.889,329802.963,230575.556,321337.037,273638.519,322153.333,275013.333,276655.556,226463.704,268528.148,266996.296,267504.444,6542730.370,6548651.852,8900528.889,6533477.037,9467431.111,6514385.185,1155660.000,1153345.926,1608826.667,1152562.963,1575493.333,1150582.963,48803066.667,48796505.185,66688111.852,48720029.630,71440969.630,48590239.259,66714457.778,66719319.259,66754257.778,66576613.333,66784534.074,66493070.370,55226426.667,55230933.333,55259446.667,55112373.333,55284580.000,55043126.667
42010,379393.333,385389.630,279993.333,385980.741,255966.667,390087.407,290060.741,296876.296,275936.296,300657.778,250502.222,305068.148,7000325.185,7010717.037,9479302.222,6989426.667,10009614.815,6960732.593,1057082.222,1059184.444,1573320.000,1051391.111,1816088.889,1047382.963,59449645.926,59510588.148,71444727.407,59295868.148,75100460.741,59066556.296,66741132.593,66745349.630,66770030.370,66726232.593,75108586.667,66650234.815,55248786.667,55252340.000,55272620.000,55236653.333,62175706.667,55173300.000
42036,231609.231,232007.692,347577.692,229677.692,390210.000,226740.000,158682.308,155618.462,341945.385,156146.923,376009.231,145793.077,6949173.077,6946672.308,9143193.077,6939579.231,9703441.538,6935753.077,1251689.231,1252776.923,1577694.615,1251212.308,1541057.692,1249236.154,52551408.462,52536276.154,74762826.154,52468632.308,79430710.000,52446257.692,69326363.077,69322835.385,69333106.154,69290234.615,69351691.538,69308970.769,57388950.000,57386250.000,57394530.000,57358530.000,57409560.000,57374100.000
42063,222865.926,236385.926,241529.630,228835.556,227824.444,233454.074,164686.667,180510.370,237681.481,170736.296,223102.963,177280.741,6669313.333,6665328.148,8868044.444,6659682.222,8930097.778,6664594.815,1199843.704,1199323.704,1602431.111,1198070.370,1617400.741,1199967.407,50354240.741,50334623.704,66434238.519,50280346.667,66992552.593,50336499.259,66774850.370,66759019.259,66767856.296,66753881.481,66789846.667,66758025.185,55276693.333,55263606.667,55270540.000,55259793.333,55289173.333,55263086.667
42090,292016.296,280657.778,289277.037,282668.148,294172.593,279906.667,253662.963,231420.741,291831.852,239465.185,289367.407,230522.222,6913781.481,6904382.963,9022422.222,6892500.000,9318489.630,6933200.741,1104072.593,1101435.556,1490811.852,1100208.889,1547580.741,1108108.889,52488220.741,52395819.259,67975810.370,52326797.037,70289885.185,52628754.074,66542076.296,66556849.630,66546106.667,66400700.741,66742826.667,66552165.185,55084033.333,55096253.333,55087240.000,54966773.333,55250173.333,55092266.667
42116,243366.154,241744.615,248404.615,231044.615,256299.231,232157.692,194354.615,189823.846,249619.231,180916.923,254616.154,178603.077,6636738.462,6637511.538,8659495.385,6614952.308,8649668.462,6620634.615,1191853.846,1192733.846,1563108.462,1189141.538,1566594.615,1189124.615,49988456.923,50003382.308,64861110.000,49846966.923,64864556.923,49888421.538,69182752.308,69180913.077,69169016.923,69175165.385,69215623.846,69009171.538,57269520.000,57268260.000,57258000.000,57263670.000,57297420.000,57126330.000
42143,345948.148,358617.778,415607.407,337525.185,357324.444,347979.259,290508.889,301433.333,399906.667,280005.185,350251.852,293204.444,6484347.407,6498124.444,8727331.852,6487960.741,9464706.667,6461627.407,1095387.407,1096726.667,1365345.185,1095016.296,1643895.556,1091671.111,54835198.519,54928013.333,71733462.963,54853272.593,76945645.185,54665762.222,66734933.333,66748941.481,66741043.704,66734758.519,74836001.481,66496061.481,55243066.667,55255113.333,55248526.667,55243413.333,61949680.000,55045900.000
42170,291933.333,292731.111,245103.704,288202.222,296874.815,289448.889,246218.519,245008.148,247723.704,244159.259,297221.481,243892.593,7087100.741,7081954.074,8816491.852,7046333.333,9319425.185,7051828.889,1133672.593,1133137.037,1591000.741,1127168.148,1543960.000,1128072.593,53691184.444,53621656.296,65971134.815,53379513.333,70181180.741,53428259.259,66683846.667,66671260.000,66673460.741,66389091.852,66706743.704,66385338.519,55201293.333,55190720.000,55192540.000,54957760.000,55220013.333,54954206.667
42196,249051.538,253383.846,252423.077,254232.308,250934.615,253163.077,201573.846,203218.462,254863.077,206667.692,251997.692,203212.308,6879973.846,6874241.538,9220546.154,6873973.846,9203347.692,6851932.308,1234492.308,1234645.385,1659453.077,1232702.308,1662946.923,1229003.077,51733260.000,51710956.154,68962553.846,51678611.538,68923317.692,51521640.000,69305958.462,69295850.769,69306494.615,69301250.769,69337794.615,69025535.385,57371850.000,57362940.000,57372120.000,57368430.000,57398040.000,57139650.000
42223,244428.148,243802.222,322769.630,241713.333,321585.185,248028.889,196848.889,193981.481,333868.889,194240.741,321455.556,201824.444,6617902.222,6614351.111,9338281.481,6610315.556,10508928.148,6610908.889,1186175.556,1185683.704,1542506.667,1186125.185,1761920.000,1184660.741,49756726.667,49732287.407,70189057.037,49694687.407,79101120.741,49701330.370,66747038.519,66745295.556,66660306.667,66739785.185,75107484.444,66694782.963,55253726.667,55252426.667,55181533.333,55247400.000,62174233.333,55210826.667
42250,294852.593,291353.333,352594.074,278934.074,371591.111,249434.074,248668.889,241921.481,352571.852,231659.259,362991.852,200782.222,7041314.074,7025908.889,8553554.815,6893905.185,9796347.407,6567777.037,1125040.000,1122536.296,1472569.630,1141708.889,1699886.667,1179741.481,53302098.519,53196177.778,70013431.111,52078303.704,79388345.185,49356428.148,66753469.630,66746605.926,66745025.185,66739474.815,75126444.444,66729371.852,55259186.667,55253206.667,55251820.000,55247920.000,62190353.333,55239253.333
42276,257909.231,260567.692,313503.846,268003.077,319356.154,300355.385,211163.846,209965.385,319441.538,218733.846,323403.077,252734.615,6694120.000,6689839.231,9432956.923,6811100.769,9316813.846,7159378.462,1203366.154,1202319.231,1555290.769,1177968.462,1541065.385,1142781.538,50319170.769,50258713.077,70954229.231,51311460.000,70180809.231,54210540.769,69059126.154,69060733.846,69051909.231,68863274.615,69117370.769,68784347.692,57167550.000,57168900.000,57161340.000,57005550.000,57215430.000,56939850.000
42303,361205.926,360924.444,244571.111,353645.926,270252.593,358071.852,306272.593,306233.333,247371.852,299707.407,269943.704,305018.519,6487447.407,6491702.222,8863517.778,6480466.667,9952914.815,6452451.111,1093296.296,1095095.556,1597073.333,1092785.185,1800854.815,1087703.704,54732941.481,54748985.926,66290398.519,54669638.519,74550528.148,54465604.444,66733104.444,66722917.037,66733201.481,66709461.481,75101609.630,66452608.889,55242200.000,55233793.333,55242026.667,55222440.000,62169120.000,55010020.000
42330,252671.111,257638.519,294259.259,250492.593,319027.407,260375.556,210596.296,208314.815,296517.037,205353.333,317240.741,214639.259,6596848.889,6578376.296,9424920.000,6605400.741,10527990.370,6547951.852,1181321.481,1179218.519,1558812.593,1182457.037,1761314.074,1171402.963,49512660.741,49372449.630,70879080.741,49586688.889,79199685.185,49086720.741,66753348.889,66499020.000,66776348.148,66767394.074,75141340.741,66382169.630,55258753.333,55048760.000,55278080.000,55270973.333,62202573.333,54951780.000
42357,302750.370,303880.741,343246.667,301236.296,396020.000,302922.222,259535.556,257880.741,343459.259,257622.222,389536.296,258227.407,7075654.074,7078342.963,8710747.407,7067573.333,10110076.296,7071502.963,1131287.407,1130140.000,1499180.000,1130192.593,1717126.667,1130634.074,53481794.815,53495647.407,71172058.519,53432257.037,81033463.704,53457091.852,66755345.185,66750288.148,66745367.407,66742874.815,76231119.259,66739621.481,55260486.667,55256066.667,55252080.000,55250260.000,63104166.667,55247486.667
42383,269675.385,270328.462,283594.615,266846.154,404057.692,268515.385,228092.308,221856.923,280653.846,223347.692,399017.692,223259.231,6645046.923,6641789.231,8671780.769,6617230.769,9058667.692,6616686.154,1191210.000,1189573.077,1567046.154,1186218.462,1485829.231,1186652.308,49844531.538,49836686.923,64903206.923,49631913.077,68111539.231,49637880.000,69129703.846,69131050.769,69135518.462,68901054.615,67987861.538,68953850.769,57225870.000,57227490.000,57230460.000,57036960.000,56280510.000,57080340.000
42413,229095.333,229540.667,283198.667,227957.333,248616.000,228366.667,193700.000,187647.333,277454.667,190279.333,250108.000,188748.000,5902497.333,5903790.000,7900029.333,5881768.000,8873444.000,5868752.000,1058135.333,1058525.333,1300434.667,1053996.667,1605550.000,1051145.333,44273382.000,44289586.000,59427728.667,44124631.333,66423971.333,44013109.333,60019652.667,60017876.000,60005378.667,59931660.667,67559278.667,59788792.000,49684596.000,49683114.000,49673052.000,49611744.000,55926234.000,49493340.000
42440,442400.741,448177.037,248967.407,443434.074,251929.630,445205.926,388308.148,391816.296,253625.185,386799.259,254886.667,393878.519,7762430.370,7767747.407,8797651.852,7761403.704,8821811.852,7720692.593,1185384.444,1185767.407,1591128.148,1185041.481,1590229.630,1177446.667,64651488.889,64644082.963,65866414.815,64627402.222,65954375.556,64329834.815,75066091.111,75069114.815,66745704.444,75069042.963,66746946.667,74725247.407,62140000.000,62142860.000,55252426.667,62142773.333,55253640.000,61857640.000
42467,256754.815,257498.519,293764.444,257024.444,405168.889,258157.778,216338.519,211762.222,299378.519,213211.852,400171.111,213640.000,6528350.370,6533472.593,9264800.741,6532250.370,9106157.778,6529198.519,1170482.222,1171329.630,1537134.815,1170418.519,1431988.148,1171099.259,48964210.370,49003654.074,69751166.667,48987354.815,74485691.111,48969734.074,66690064.444,66693179.259,66703605.185,66689939.259,66714032.593,66697513.333,55206666.667,55209353.333,55217413.333,55206146.667,55225820.000,55212126.667
42496,238728.276,237608.966,324193.793,235625.517,265183.448,237450.345,199900.000,195630.345,325028.966,195082.069,268743.448,195996.552,6133073.103,6121157.241,8003886.897,6103677.931,9232444.138,6121953.103,1097832.414,1097102.759,1381770.345,1092903.448,1663383.448,1096336.552,45997727.586,45896810.345,65536463.448,45781071.724,69015722.069,45917024.138,62102507.586,62098175.172,62120925.517,61908470.345,69867254.483,62095563.448,51408831.724,51405362.069,51424082.069,51248420.690,57836488.966,51403183.448
42523,337077.778,337193.333,240662.222,334436.296,296275.556,336061.481,291545.926,289969.630,244883.704,287187.407,296062.222,289747.407,7890372.593,7892878.519,8851877.037,7884277.778,9407552.593,7856028.889,1276545.185,1275442.963,1599454.815,1276342.222,1556572.593,1270703.704,59569840.741,59598319.259,66245993.333,59513242.222,70724125.926,59316170.370,75094517.037,75091508.148,66794358.519,75075577.778,66775540.000,74856985.185,62163660.000,62161406.667,55292813.333,62148060.000,55277473.333,61966926.667
42553,230076.000,231896.000,293086.667,229192.667,248934.000,230650.667,193530.000,192500.667,297298.000,190443.333,251574.667,191178.000,5928762.667,5928526.667,9436442.000,5923398.000,8966158.000,5908440.000,1062468.000,1062078.000,1581236.667,1061262.000,1614564.667,1058254.667,44469843.333,44443378.000,70992492.667,44413892.000,67014547.333,44317966.000,60067638.667,60059774.667,67604572.667,60056690.667,67610312.667,59912573.333,49724532.000,49718136.000,55963674.000,49715172.000,55968042.000,49596066.000
42580,335201.481,336112.593,248541.481,294778.519,386188.148,296496.296,288312.593,286442.963,253342.222,245871.111,365983.704,244300.741,7262780.741,7257380.000,8716658.519,7261867.407,9122093.333,7279683.704,1266122.222,1266680.000,1575720.741,1300437.037,1439101.481,1304288.148,57406617.778,57209846.667,65241042.963,54450057.778,75032935.556,54572068.889,75030331.111,75012743.704,66693576.296,74733265.926,66697084.444,74993028.889,62110533.333,62095886.667,55209266.667,61864660.000,55212560.000,62079246.667
42610,331178.667,337808.667,359182.000,369084.667,211639.333,368969.333,293471.333,298516.000,330736.667,330060.000,168168.000,331427.333,6147598.667,6145554.000,9113974.667,6084100.667,8943364.667,6077516.667,945320.667,942234.000,1471203.333,902911.333,1626304.667,902135.333,49147681.333,49243928.000,74671982.667,51348418.000,67612052.667,51288644.000,59931306.000,59940662.667,67439609.333,59877504.000,67373488.667,59859600.000,49611510.000,49619622.000,55826784.000,49566972.000,55772418.000,49551918.000
